; --- Settings ---
; Action on detect:	Ask after scan
; Scan objects:	All objects
; Use iChecker:	Yes
; Use iSwift:	Yes
; Try disinfect:	Yes
; Try delete:	Yes
; Try delete container:	No
; Exclude by mask:	No
; Include by mask:	No
; Objects to scan:	
; 	"J:\GHO\"	Enable = Yes	Recursive = Yes
; 	"J:\HSL.xlsx"	Enable = Yes	Recursive = No
; 	"J:\Prj_Name.xlsx"	Enable = Yes	Recursive = No
; 	"J:\SamsungDwn\"	Enable = Yes	Recursive = Yes
; 	"J:\Software\"	Enable = Yes	Recursive = Yes
; 	"J:\System Volume Information\"	Enable = Yes	Recursive = Yes
; 	"J:\Tool\"	Enable = Yes	Recursive = Yes
; 	"J:\UHD Content\"	Enable = Yes	Recursive = Yes
; 	"J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar"	Enable = Yes	Recursive = No
; 	"J:\diskgeniuslsdwjzyb3264w.zip"	Enable = Yes	Recursive = No
; ------------------
2019-05-09 17:16:30	Scan_Objects$5124         starting   1%         
2019-05-09 17:16:30	Scan_Objects$5124         running    1%         
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/otr/WLATNDS.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/TP-Link/ZD1211BU.INF	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/A_Public/stacfg00.dll	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/TP-Link/11gAdapter.sys	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/Air/AirUsbFw.sys	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/A_Public/ar5210b.sys	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/otr/ar5211.sys	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/TP-Link/ar5211.sys	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/A_Public/ar5211.sys	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/HP/ar5211.sys	password protected
